id,created_at,text,cleaned
1658472370900967425,2023-05-16 14:00:00+00:00,"Made to stand out, by land or sea. Just like you. The Tissot Seastar 40mm, a new expression of watchmaking excellen… https://t.co/6KF5T5x53V",made to stand out by land or sea just like you the tissot seastar  a new expression of watchmaking excellen… 
1658007781780213761,2023-05-15 07:13:54+00:00,"@khaledDoukmak2 Dear @khaledDoukmak2, thank you for your interest in Tissot. For any information about price and av… https://t.co/m77XmTY2kZ", dear  thank you for your interest in tissot for any information about price and av… 
1657385213016653826,2023-05-13 14:00:02+00:00,"The Tissot Seastar 40mm beautifully communicates style, versatility and performance you can count on, anywhere and… https://t.co/3lXbHqCPFm",the tissot seastar  beautifully communicates style versatility and performance you can count on anywhere and… 
1656938061790425088,2023-05-12 08:23:13+00:00,"@ijanvaidya Hi ijanvaidya, you received an answer to your email from our customer service yesterday evening. If you… https://t.co/Sy3Y3Cw0il",ijanvaidya hi ijanvaidya you received an answer to your email from our customer service yesterday evening if you… 
1656584026914734080,2023-05-11 08:56:24+00:00,"@ijanvaidya Hi ijanvaidya, thank you for the number. We have reached out to the person in charge in order for you t… https://t.co/UZxYzw5yIx",ijanvaidya hi ijanvaidya thank you for the number we have reached out to the person in charge in order for you t… 
1656564877073215488,2023-05-11 07:40:18+00:00,"@ijanvaidya Hi ijanvaidya, thank you for your message. May I please ask you for the ticket number from the automati… https://t.co/llk9AXcR9p",ijanvaidya hi ijanvaidya thank you for your message may i please ask you for the ticket number from the automati… 
1655877730947289091,2023-05-09 10:09:50+00:00,"@EFFILZAGIN @baldassarreted Hello @EFFILZAGIN, we are very appreciative of your comment and thank you for it.
It is… https://t.co/hTSM49rKfd","effilzagin baldassarreted hello effilzagin we are very appreciative of your comment and thank you for it
it is… "
1655871515311714309,2023-05-09 09:45:08+00:00,"@ijanvaidya Dear @ijanvaidya, thank you for reaching out. In order to help you in the mose effective way, may I ple… https://t.co/T1EsEP9KWT",ijanvaidya dear ijanvaidya thank you for reaching out in order to help you in the mose effective way may i ple… 
1655573274057646083,2023-05-08 14:00:02+00:00,"Celebrate the unconditional love of a mother with a Tissot watch.
#Tissot #TheGiftofTime #TimelessLove https://t.co/o32YkGVhfc","celebrate the unconditional love of a mother with a tissot watch
tissot thegiftoftime timelesslove "
1655474925073842176,2023-05-08 07:29:14+00:00,"@matula248 Hi matula248, thank you for your message. It is currently not possible to see the results of the Giro on… https://t.co/RRX1FaExKN", hi  thank you for your message it is currently not possible to see the results of the giro on… 
1654788097585078273,2023-05-06 10:00:01+00:00,"Success   isn't about winning, it's about getting back up after you fall. Olympic   champion Primož Roglič reminds… https://t.co/2GRmQT4urq",success   isnt about winning its about getting back up after you fall olympic   champion primož roglič reminds… 
1654484822905978889,2023-05-05 13:54:55+00:00,"Give her a gift that stands the test of time. Choose the Tissot Bellissima for your mother.
#Tissot #TheGiftofTime… https://t.co/g0MnKRtHXm","give her a gift that stands the test of time choose the tissot bellissima for your mother
tissot thegiftoftime… "
